anti-constitutional	ANTI CONSTITUTIONAL
underfunded	(under)+ FUNDED*
underlines	UNDERLINES
undermines	UNDERMINES
undernourished	UNDERNOURISHED
undernourishment	UNDERNOURISHMENT
undernutrition	UNDERNUTRITION
underrepresented	(under)+ REPRESENTED*
underscores	UNDERSCORES
understaffed	UNDERSTAFFED
underutilization	UNDERUTILIZATION
undervalue	UNDERVALUE
undervalued	UNDERVALUE +(d)
underweight	UNDERWEIGHT
undg	UNDG
undiagnosed	UNDIAGNOSED
undignified	UNDIGNIFIED
undisputable	UNDISPUTABLE
undisputedly	UNDISPUTEDLY
undocumented	UNDOCUMENTED
undof	UNDOF
undp	UNDP
undress	UNDRESS
uneca	UNECA
unece	UNECE
unencumbered	UNENCUMBERED
unenforceable	UNENFORCEABLE
unep	UNEP
unequivocal	UNEQUIVOCAL
unesco	UNESCO
unethical	UNETHICAL
unevenly	UNEVENLY
unf	UNF
unfa	UNFA
unfairness	UNFAIRNESS
unfavourable	UNFAVOURABLE
unfccc	UNFCCC
unfeasible	UNFEASIBLE
unff	UNFF
unficyp	UNFICYP
unfilled	UNFILLED
unfip	UNFIP
unforeseeable	UNFORESEEABLE
unforgiving	UNFORGIVING
unfpa	UNFPA
unfunded	(un)+ FUNDED*
ungass	UNGASS
ungegn	UNGEGN
unharmed	UNHARMED
unhcr	UNHCR
unhelpful	UNHELPFUL
unic	UNIC
unicef	UNICEF
unicri	UNICRI
unidir	UNIDIR
unido	UNIDO
unidroit	UNIDROIT
unifem	UNIFEM
unikom	UNIKOM
unilateralism	UNILATERALISM
unimpeded	UNIMPEDED
unimplemented	UNIMPLEMENTED
uninhabitable	UNINHABITABLE
uninstall	(un)+ INSTALL*
uninsured	(un)+ INSURED*
unintentional	UNINTENTIONAL
unionists	UNIONISTS
unis	UNIS
unita	UNITA
unitaid	UNITAID
unitar	UNITAR
unitary	UNITARY
universalization	UNIVERSALIZATION
unjspf	UNJSPF
unjustly	UNJUSTLY
unlb	UNLB
unlocatable	UNLOCATABLE
unmade	UNMADE
unmas	UNMAS
unmee	UNMEE
unmibh	UNMIBH
unmih	UNMIH
unmik	UNMIK
unmil	UNMIL
unmin	UNMIN
unmis	UNMI* +(s)
unmiset	UNMISET
unmit	UNMI* +(t)
unmop	UNMOP
unmos	UNMO* +(s)
unmot	UNMO* +(t)
unmovic	UNMOVIC
unoa	UNOA
unobstructed	UNOBSTRUCTED
unoci	UNOCI
unodc	UNODC
unog	UNOG
unomig	UNOMIG
unomil	UNOMIL
unomsil	UNOMSIL
unomur	UNOMUR
unopposed	UNOPPOSED
unops	UNOPS
unosom	UNOSOM
unpa	UNPA
unpan	UNPAN
unpf	UNPF
unplugged	UNPLUGGED
unprecedentedly	UNPRECEDENTEDLY
unpredep	UNPREDEP
unprejudiced	UNPREJUDICED
unprofor	UNPROFOR
unproven	UNPROVEN
unquestioned	UNQUESTIONED
unreachable	UNREACHABLE
unreadable	UNREADABLE
unremittingly	UNREMITTINGLY
unreported	UNREPORTED
unrepresented	(un)+ REPRESENTED*
unrisd	UNRISD
unrivaled	UNRIVALED
unrwa	UNRWA
unsatisfied	UNSATISFIED
unscear	UNSCEAR
unsco	UNSCO
unscom	UNSCOM
unsd	UNSD
unsecoord	UNSECOORD
unshaken	UNSHAKEN
unsma	UNSMA
unsmih	UNSMIH
unso	UNSO
unsound	UNSOUND
unspent	UNSPENT
unspoiled	UNSPOILED
unstat	UNSTAT
unsubstantiated	UNSUBSTANTIATED
unsurprisingly	UNSURPRISINGLY
unsustainable	UNSUSTAINABLE
unswerving	UNSWERVING
unswervingly	UNSWERVING +(ly)
untac	UNTAC
untaes	UNTAE* +(s)
untaet	UNTAE* +(t)
untiringly	UNTIRINGLY
untmih	UNTMIH
untop	UNTOP
untraceable	UNTRACEABLE
untso	UNTSO
unu	UNU
unusable	UNUSABLE
unv	UNV
unvs	UNV +(s)
unwavering	UNWAVERING
unwell	UNWELL
unwieldy	UNWIELDY
unwind	UNWIND
